,eid,timestamp,lifecycle,resource,activity,material,purchase_requisition,quotation,purchase_order,goods_receipt,invoice_receipt,payment
789,event:1615,2022-05-30T23:19:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:50'],['purchase_order:95'],,,
790,event:1616,2022-05-30T23:37:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:83'],['goods receipt:96'],,
791,event:1617,2022-05-31T05:56:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:63'],['goods receipt:65'],['invoice receipt:68'],['payment:33']
792,event:1628,2022-05-31T08:10:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:71'],['goods receipt:80'],['invoice receipt:85'],['payment:42']
793,event:1630,2022-05-31T09:57:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:97'],['invoice receipt:94'],
794,event:1632,2022-05-31T10:07:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:97'],['invoice receipt:94'],
795,event:1633,2022-05-31T10:22:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:166', 'material:165']",['purchase_requisition:70:pr_trigger_70'],,,,,
796,event:1635,2022-05-31T11:15:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:86'],['invoice receipt:92'],
797,event:1637,2022-05-31T11:17:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:63'],['purchase_order:104'],,,
798,event:1638,2022-05-31T11:25:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:86'],['invoice receipt:92'],
799,event:1640,2022-05-31T11:34:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:63'],['purchase_order:103'],,,
800,event:1641,2022-05-31T11:42:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:66'],['purchase_order:107'],,,
801,event:1643,2022-05-31T12:53:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:85'],['invoice receipt:87'],
802,event:1645,2022-05-31T13:03:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:85'],['invoice receipt:87'],
803,event:1648,2022-05-31T13:26:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:63'],['purchase_order:105'],,,
804,event:1650,2022-05-31T17:00:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:65'],['purchase_order:109'],,,
805,event:1651,2022-05-31T18:26:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:96'],['invoice receipt:94'],
806,event:1652,2022-05-31T19:34:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:63'],['purchase_order:105'],,,
807,event:1653,2022-05-31T19:52:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:43'],['goods receipt:81'],['invoice receipt:82'],['payment:40']
808,event:1654,2022-05-31T21:13:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:84'],['goods receipt:94'],,
809,event:1655,2022-05-31T21:20:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:168', 'material:169', 'material:167']",['purchase_requisition:71:pr_trigger_71'],,,,,
810,event:1656,2022-05-31T22:18:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:60'],['goods receipt:70'],,
811,event:1657,2022-05-31T22:24:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:82'],['goods receipt:95'],,
812,event:1658,2022-06-01T00:23:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:76'],['goods receipt:98'],,
813,event:1659,2022-06-01T01:26:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:87'],['goods receipt:100'],,
814,event:1660,2022-06-01T04:23:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:163', 'material:164', 'material:162']",['purchase_requisition:69:pr_trigger_69'],,,,,
815,event:1679,2022-06-01T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:96'],['invoice receipt:94'],
816,event:1682,2022-06-01T12:48:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:104'],['goods receipt:105'],,
817,event:1683,2022-06-01T13:08:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:103'],['goods receipt:106'],,
818,event:1684,2022-06-01T13:24:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:173', 'material:174', 'material:175']",['purchase_requisition:73:pr_trigger_73'],,,,,
819,event:1686,2022-06-01T14:04:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:171', 'material:172', 'material:170']",['purchase_requisition:72:pr_trigger_72'],,,,,
820,event:1688,2022-06-01T17:46:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:89'],['invoice receipt:89'],
821,event:1689,2022-06-01T18:29:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:73'],['goods receipt:84'],,
822,event:1690,2022-06-01T18:37:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:104'],['goods receipt:106'],,
823,event:1691,2022-06-01T19:26:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:65'],['purchase_order:110'],,,
824,event:1692,2022-06-01T20:14:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:78', 'purchase_order:79']","['goods receipt:93', 'goods receipt:92']",['invoice receipt:91'],['payment:44']
825,event:1693,2022-06-01T20:20:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:81'],['goods receipt:103'],,
826,event:1694,2022-06-01T20:48:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:59'],['purchase_order:97'],,,
827,event:1695,2022-06-01T22:19:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:83'],"['goods receipt:97', 'goods receipt:96']",['invoice receipt:94'],['payment:47']
828,event:1696,2022-06-02T00:07:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:87'],['goods receipt:99'],,
829,event:1697,2022-06-02T01:31:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:66'],['purchase_order:108'],,,
830,event:1698,2022-06-02T01:58:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:50'],['goods receipt:86'],['invoice receipt:92'],['payment:45']
831,event:1699,2022-06-02T02:55:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:65'],['purchase_order:109'],,,
832,event:1700,2022-06-02T06:14:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:161', 'material:160', 'material:159']",['purchase_requisition:68:pr_trigger_68'],,,,,
833,event:1710,2022-06-02T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:89'],['invoice receipt:89'],
834,event:1712,2022-06-02T07:38:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:103'],['invoice receipt:100'],
835,event:1714,2022-06-02T07:44:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:64'],['purchase_order:101'],,,
836,event:1716,2022-06-02T07:48:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:103'],['invoice receipt:100'],
837,event:1717,2022-06-02T08:32:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:95'],['invoice receipt:97'],
838,event:1719,2022-06-02T08:42:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:95'],['invoice receipt:97'],
839,event:1721,2022-06-02T09:23:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:94'],['invoice receipt:95'],
840,event:1723,2022-06-02T09:33:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:94'],['invoice receipt:95'],
841,event:1725,2022-06-02T10:20:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:166', 'material:165']",['purchase_requisition:70:pr_trigger_70'],,,,,
842,event:1727,2022-06-02T10:45:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:51'],['purchase_order:85'],,,
843,event:1732,2022-06-02T11:13:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:70', 'purchase_order:69']","['goods receipt:90', 'goods receipt:91']",['invoice receipt:84'],['payment:43']
844,event:1734,2022-06-02T13:02:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:99'],['invoice receipt:102'],
845,event:1736,2022-06-02T13:12:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:99'],['invoice receipt:102'],
846,event:1737,2022-06-02T14:33:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:102'],['invoice receipt:100'],
847,event:1739,2022-06-02T14:43:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:102'],['invoice receipt:100'],
848,event:1741,2022-06-02T15:53:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:100'],['goods receipt:104'],,
849,event:1742,2022-06-02T17:29:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:103'],['goods receipt:107'],,
850,event:1743,2022-06-02T18:29:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:70'],['invoice receipt:96'],
851,event:1744,2022-06-02T19:51:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:66'],['purchase_order:107'],,,
852,event:1745,2022-06-03T06:30:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:105'],['goods receipt:106'],,
853,event:1752,2022-06-03T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:70'],['invoice receipt:96'],
854,event:1754,2022-06-03T08:09:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,['material:176'],['purchase_requisition:74:pr_trigger_74'],,,,,
855,event:1756,2022-06-03T08:26:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:85'],['goods receipt:109'],,
856,event:1757,2022-06-03T13:05:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:107'],['invoice receipt:106'],
857,event:1759,2022-06-03T13:15:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:107'],['invoice receipt:106'],
858,event:1760,2022-06-03T13:33:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:104'],['invoice receipt:103'],
859,event:1762,2022-06-03T13:43:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:104'],['invoice receipt:103'],
860,event:1764,2022-06-03T15:09:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:70', 'purchase_order:69']","['goods receipt:90', 'goods receipt:91']",['invoice receipt:84'],['payment:43']
861,event:1765,2022-06-03T16:31:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:106'],['invoice receipt:106'],
862,event:1766,2022-06-03T18:03:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:98'],['invoice receipt:98'],
863,event:1767,2022-06-03T20:10:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:101'],['goods receipt:108'],,
864,event:1768,2022-06-03T23:57:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:105'],['invoice receipt:106'],
865,event:1769,2022-06-04T01:47:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:84'],['goods receipt:94'],['invoice receipt:95'],['payment:50']
866,event:1770,2022-06-04T03:26:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:61'],['purchase_order:106'],,,
867,event:1771,2022-06-04T03:38:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:59'],['purchase_order:99'],,,
868,event:1772,2022-06-04T04:57:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:104'],['goods receipt:107'],,
869,event:1773,2022-06-04T05:04:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:82'],['goods receipt:95'],['invoice receipt:97'],['payment:49']
870,event:1774,2022-06-04T05:36:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:89'],['goods receipt:101'],,
871,event:1775,2022-06-04T08:44:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:77'],"['goods receipt:89', 'goods receipt:88']",['invoice receipt:89'],['payment:48']
872,event:1776,2022-06-04T08:59:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:60'],['purchase_order:102'],,,
873,event:1777,2022-06-04T10:07:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:74'],['goods receipt:87'],['invoice receipt:81'],['payment:41']
874,event:1778,2022-06-04T13:34:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:79'],['goods receipt:92'],,
875,event:1779,2022-06-04T13:51:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:78', 'purchase_order:79']","['goods receipt:93', 'goods receipt:92']",['invoice receipt:91'],['payment:44']
876,event:1780,2022-06-04T17:07:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:168', 'material:169', 'material:167']",['purchase_requisition:71:pr_trigger_71'],,,,,
877,event:1781,2022-06-04T17:15:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:100'],['invoice receipt:102'],
878,event:1782,2022-06-04T18:57:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:66'],['purchase_order:108'],,,
879,event:1783,2022-06-04T18:58:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:173', 'material:174', 'material:175']",['purchase_requisition:73:pr_trigger_73'],,,,,
880,event:1784,2022-06-04T20:21:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:50'],['purchase_order:94'],,,
881,event:1785,2022-06-05T01:26:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:71'],['goods receipt:80'],['invoice receipt:85'],['payment:42']
882,event:1786,2022-06-05T02:24:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:60'],['goods receipt:70'],['invoice receipt:96'],['payment:52']
883,event:1787,2022-06-05T06:12:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:69:pr_trigger_69'],['quotation:67'],,,,
884,event:1788,2022-06-05T10:55:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:103'],['goods receipt:105'],,
885,event:1789,2022-06-05T11:59:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:72', 'purchase_order:73']","['goods receipt:84', 'goods receipt:85']",['invoice receipt:87'],['payment:46']
886,event:1790,2022-06-05T12:22:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:65'],['purchase_order:110'],,,
887,event:1791,2022-06-05T16:25:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:105'],['goods receipt:107'],,
888,event:1792,2022-06-06T02:00:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,['material:176'],['purchase_requisition:74:pr_trigger_74'],,,,,
889,event:1793,2022-06-06T05:37:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:70:pr_trigger_70'],['quotation:69'],,,,
890,event:1819,2022-06-06T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:106'],['invoice receipt:106'],
891,event:1820,2022-06-06T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:98'],['invoice receipt:98'],
892,event:1821,2022-06-06T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:105'],['invoice receipt:106'],
893,event:1822,2022-06-06T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:100'],['invoice receipt:102'],
894,event:1826,2022-06-06T07:24:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:108'],['invoice receipt:107'],
895,event:1828,2022-06-06T07:34:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:108'],['invoice receipt:107'],
896,event:1830,2022-06-06T08:45:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:71:pr_trigger_71'],['quotation:70'],,,,
897,event:1832,2022-06-06T08:49:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:67'],['purchase_order:111'],,,
898,event:1834,2022-06-06T09:46:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:86'],['goods receipt:110'],,
899,event:1837,2022-06-06T11:59:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:70'],['purchase_order:113'],,,
900,event:1839,2022-06-06T12:25:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:177', 'material:178', 'material:179']",['purchase_requisition:75:pr_trigger_75'],,,,,
901,event:1841,2022-06-06T15:44:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:105'],['goods receipt:105'],,
902,event:1842,2022-06-06T19:19:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:101'],['goods receipt:108'],['invoice receipt:107'],['payment:57']
903,event:1843,2022-06-06T20:37:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:110'],['invoice receipt:110'],
904,event:1844,2022-06-06T23:31:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:106'],['goods receipt:111'],,
905,event:1845,2022-06-07T00:01:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:177', 'material:178', 'material:179']",['purchase_requisition:75:pr_trigger_75'],,,,,
906,event:1846,2022-06-07T02:04:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:109'],['invoice receipt:110'],
907,event:1847,2022-06-07T02:46:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:70'],['purchase_order:113'],,,
908,event:1848,2022-06-07T03:52:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:69'],['purchase_order:112'],,,
909,event:1849,2022-06-07T06:01:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:108'],['goods receipt:114'],,
910,event:1850,2022-06-07T06:28:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:100'],['goods receipt:104'],['invoice receipt:103'],['payment:53']
911,event:1859,2022-06-07T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:110'],['invoice receipt:110'],
912,event:1860,2022-06-07T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:109'],['invoice receipt:110'],
913,event:1862,2022-06-07T07:23:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:59'],['purchase_order:98'],,,
914,event:1875,2022-06-07T07:50:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:81', 'purchase_order:80']","['goods receipt:103', 'goods receipt:102']",['invoice receipt:100'],['payment:51']
915,event:1876,2022-06-07T08:10:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:97'],['goods receipt:121'],,
916,event:1877,2022-06-07T09:14:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:181', 'material:183', 'material:182', 'material:180']",['purchase_requisition:76:pr_trigger_76'],,,,,
917,event:1879,2022-06-07T12:47:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:74'],['goods receipt:87'],['invoice receipt:81'],['payment:41']
918,event:1880,2022-06-07T13:49:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:171', 'material:172', 'material:170']",['purchase_requisition:72:pr_trigger_72'],,,,,
919,event:1882,2022-06-07T14:19:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:97'],['goods receipt:118'],,
920,event:1883,2022-06-07T19:17:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:86'],['goods receipt:109'],,
921,event:1884,2022-06-07T20:11:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:74:pr_trigger_74'],['quotation:72'],,,,
922,event:1885,2022-06-07T20:17:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:98'],['goods receipt:118'],,
923,event:1886,2022-06-07T22:15:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:104', 'purchase_order:105', 'purchase_order:103']","['goods receipt:105', 'goods receipt:106', 'goods receipt:107']",['invoice receipt:106'],['payment:55']
924,event:1887,2022-06-08T00:29:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:111'],['invoice receipt:111'],
925,event:1888,2022-06-08T01:22:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:76'],['goods receipt:98'],['invoice receipt:98'],['payment:54']
926,event:1889,2022-06-08T01:34:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:109'],['goods receipt:116'],,
927,event:1890,2022-06-08T03:43:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:98'],['goods receipt:120'],,
928,event:1891,2022-06-08T04:49:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:86', 'purchase_order:85']","['goods receipt:110', 'goods receipt:109']",['invoice receipt:110'],['payment:58']
929,event:1892,2022-06-08T06:18:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:72:pr_trigger_72'],['quotation:74'],,,,
930,event:1893,2022-06-08T06:31:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:110'],['goods receipt:115'],,
931,event:1903,2022-06-08T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:111'],['invoice receipt:111'],
932,event:1906,2022-06-08T08:46:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,['material:187'],['purchase_requisition:78:pr_trigger_78'],,,,,
933,event:1908,2022-06-08T09:09:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,['material:187'],['purchase_requisition:78:pr_trigger_78'],,,,,
934,event:1910,2022-06-08T09:16:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:74'],['purchase_order:115'],,,
935,event:1912,2022-06-08T09:43:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:99'],['goods receipt:119'],,
936,event:1917,2022-06-08T09:45:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:113'],['goods receipt:117'],,
937,event:1919,2022-06-08T10:26:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:73:pr_trigger_73'],['quotation:71'],,,,
938,event:1921,2022-06-08T10:32:00.000Z,complete,Procurement Order Manager,Approve Purchase Order,,,['quotation:58'],['purchase_order:91'],,,
939,event:1931,2022-06-08T12:29:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:107'],['goods receipt:114'],,
940,event:1932,2022-06-08T12:40:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:184', 'material:186', 'material:185']",['purchase_requisition:77:pr_trigger_77'],,,,,
941,event:1934,2022-06-08T13:10:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:92'],['goods receipt:123'],,
942,event:1935,2022-06-08T16:57:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:116'],['invoice receipt:113'],
943,event:1936,2022-06-08T17:34:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:99'],['goods receipt:118'],,
944,event:1937,2022-06-08T17:36:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:117'],['invoice receipt:118'],
945,event:1938,2022-06-08T18:17:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:88'],['goods receipt:99'],,
946,event:1939,2022-06-08T18:41:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:91'],['goods receipt:122'],,
947,event:1940,2022-06-08T19:38:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:107'],['goods receipt:113'],,
948,event:1941,2022-06-08T20:29:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:92'],['goods receipt:124'],,
949,event:1942,2022-06-08T21:22:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:90'],['goods receipt:122'],,
950,event:1943,2022-06-08T22:32:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:92'],['goods receipt:122'],,
951,event:1944,2022-06-08T23:15:00.000Z,complete,Finance/Account Department,Execute Payment,,,,"['purchase_order:78', 'purchase_order:79']","['goods receipt:93', 'goods receipt:92']",['invoice receipt:91'],['payment:44']
952,event:1945,2022-06-08T23:35:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:99'],['goods receipt:121'],,
953,event:1946,2022-06-09T00:16:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:99'],['goods receipt:120'],,
954,event:1947,2022-06-09T00:58:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:119'],['invoice receipt:117'],
955,event:1948,2022-06-09T02:54:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:121'],['invoice receipt:117'],
956,event:1949,2022-06-09T03:02:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:118'],['invoice receipt:117'],
957,event:1950,2022-06-09T03:55:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:74'],['purchase_order:116'],,,
958,event:1951,2022-06-09T05:14:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:68:pr_trigger_68'],['quotation:68'],,,,
959,event:1952,2022-06-09T05:26:00.000Z,complete,Warehouse Department,Create Goods Receipt,,,,['purchase_order:85'],['goods receipt:110'],,
960,event:1953,2022-06-09T05:36:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:72'],['purchase_order:114'],,,
961,event:1970,2022-06-09T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:116'],['invoice receipt:113'],
962,event:1971,2022-06-09T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:118'],['invoice receipt:117'],
963,event:1972,2022-06-09T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:117'],['invoice receipt:118'],
964,event:1973,2022-06-09T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:119'],['invoice receipt:117'],
965,event:1974,2022-06-09T07:10:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:121'],['invoice receipt:117'],
966,event:1976,2022-06-09T07:50:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:113'],['goods receipt:117'],['invoice receipt:118'],['payment:60']
967,event:1977,2022-06-09T08:11:00.000Z,complete,Finance/Account Department,Execute Payment,,,,['purchase_order:77'],"['goods receipt:89', 'goods receipt:88']",['invoice receipt:89'],['payment:48']
968,event:1978,2022-06-09T08:12:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:101'],['invoice receipt:108'],
969,event:1980,2022-06-09T08:19:00.000Z,complete,Finance/Account Department,Create Invoice Receipt,,,,,['goods receipt:113'],['invoice receipt:120'],
970,event:1982,2022-06-09T08:22:00.000Z,complete,Finance/Account Department,Perform Two-Way Match,,,,,['goods receipt:101'],['invoice receipt:108'],
