,eid,activity,timestamp,CreatedBy,ApprovedBy,PostedBy,ScreenedBy,Outcome,Result,Decision,JobRequisition,HiringManager,Recruiter,Candidate,Assessment,Interviewer
1526,E0001527,Conduct Initial Interview,2027-09-18 12:55:17.823636+00:00,,,,,Fail,,,,,['R008'],['C00193'],,
1527,E0001528,Send Rejection Letter,2027-09-18 19:55:17.823636+00:00,,,,,,,,,,,['C00193'],,
1528,E0001529,Submit Application,2027-09-18 20:52:17.823636+00:00,,,,,,,,['JR083'],,,['C00194'],,
1529,E0001530,Screen Resume,2027-09-18 21:38:17.823636+00:00,,,,R003,,,,,,['R003'],['C00194'],,
1530,E0001531,Send Rejection Letter,2027-09-19 15:38:17.823636+00:00,,,,,,,,,,,['C00194'],,
1531,E0001532,Submit Application,2027-09-19 16:03:17.823636+00:00,,,,,,,,['JR003'],,,['C00195'],,
1532,E0001533,Screen Resume,2027-09-19 17:03:17.823636+00:00,,,,R008,,,,,,['R008'],['C00195'],,
1533,E0001534,Schedule Initial Interview,2027-09-21 01:03:17.823636+00:00,,,,,,,,,,['R008'],['C00195'],,
1534,E0001535,Conduct Initial Interview,2027-09-22 22:03:17.823636+00:00,,,,,Fail,,,,,['R008'],['C00195'],,
1535,E0001536,Send Rejection Letter,2027-09-23 11:03:17.823636+00:00,,,,,,,,,,,['C00195'],,
1536,E0001537,Submit Application,2027-09-23 11:15:17.823636+00:00,,,,,,,,['JR035'],,,['C00196'],,
1537,E0001538,Screen Resume,2027-09-23 13:15:17.823636+00:00,,,,R002,,,,,,['R002'],['C00196'],,
1538,E0001539,Schedule Initial Interview,2027-09-24 07:15:17.823636+00:00,,,,,,,,,,['R002'],['C00196'],,
1539,E0001540,Conduct Initial Interview,2027-09-24 15:15:17.823636+00:00,,,,,Fail,,,,,['R002'],['C00196'],,
1540,E0001541,Send Rejection Letter,2027-09-25 08:15:17.823636+00:00,,,,,,,,,,,['C00196'],,
1541,E0001542,Submit Application,2027-09-25 09:05:17.823636+00:00,,,,,,,,['JR046'],,,['C00197'],,
1542,E0001543,Screen Resume,2027-09-25 11:05:17.823636+00:00,,,,R010,,,,,,['R010'],['C00197'],,
1543,E0001544,Send Rejection Letter,2027-09-25 15:05:17.823636+00:00,,,,,,,,,,,['C00197'],,
1544,E0001545,Submit Application,2027-09-25 15:48:17.823636+00:00,,,,,,,,['JR032'],,,['C00198'],,
1545,E0001546,Screen Resume,2027-09-25 16:48:17.823636+00:00,,,,R006,,,,,,['R006'],['C00198'],,
1546,E0001547,Send Rejection Letter,2027-09-26 00:48:17.823636+00:00,,,,,,,,,,,['C00198'],,
1547,E0001548,Submit Application,2027-09-26 01:43:17.823636+00:00,,,,,,,,['JR074'],,,['C00199'],,
1548,E0001549,Screen Resume,2027-09-26 02:47:17.823636+00:00,,,,R006,,,,,,['R006'],['C00199'],,
1549,E0001550,Schedule Initial Interview,2027-09-26 14:47:17.823636+00:00,,,,,,,,,,['R006'],['C00199'],,
1550,E0001551,Conduct Initial Interview,2027-09-27 13:47:17.823636+00:00,,,,,Pass,,,,,['R006'],['C00199'],,
1551,E0001552,Send Assessment,2027-09-28 00:47:17.823636+00:00,,,,,,,,,,,['C00199'],['A00607'],
1552,E0001553,Complete Assessment,2027-09-29 22:47:17.823636+00:00,,,,,,,,,,,['C00199'],['A00607'],
1553,E0001554,Review Assessment,2027-09-29 23:47:17.823636+00:00,,,,,,Fail,,,['HM004'],,['C00199'],['A00607'],
1554,E0001555,Send Rejection Letter,2027-09-30 18:47:17.823636+00:00,,,,,,,,,,,['C00199'],,
1555,E0001556,Submit Application,2027-09-30 18:57:17.823636+00:00,,,,,,,,['JR073'],,,['C00200'],,
1556,E0001557,Screen Resume,2027-09-30 20:57:17.823636+00:00,,,,R006,,,,,,['R006'],['C00200'],,
1557,E0001558,Send Rejection Letter,2027-10-01 12:57:17.823636+00:00,,,,,,,,,,,['C00200'],,
1558,E0001559,Submit Application,2027-10-01 13:17:17.823636+00:00,,,,,,,,['JR070'],,,['C00201'],,
1559,E0001560,Screen Resume,2027-10-01 14:17:17.823636+00:00,,,,R006,,,,,,['R006'],['C00201'],,
1560,E0001561,Schedule Initial Interview,2027-10-02 05:17:17.823636+00:00,,,,,,,,,,['R006'],['C00201'],,
1561,E0001562,Conduct Initial Interview,2027-10-03 10:17:17.823636+00:00,,,,,Pass,,,,,['R006'],['C00201'],,
1562,E0001563,Send Assessment,2027-10-04 02:17:17.823636+00:00,,,,,,,,,,,['C00201'],['A00540'],
1563,E0001564,Complete Assessment,2027-10-04 03:17:17.823636+00:00,,,,,,,,,,,['C00201'],['A00540'],
1564,E0001565,Review Assessment,2027-10-05 02:17:17.823636+00:00,,,,,,Pass,,,['HM003'],,['C00201'],['A00540'],
1565,E0001566,Schedule Panel Interview,2027-10-06 01:17:17.823636+00:00,,,,,,,,,,,['C00201'],,"['I022', 'I046']"
1566,E0001567,Conduct Panel Interview,2027-10-10 11:17:17.823636+00:00,,,,,,,,,,,['C00201'],,"['I022', 'I046']"
1567,E0001568,Evaluate Interview,2027-10-10 13:17:17.823636+00:00,,,,,,,Proceed,,['HM003'],,['C00201'],,
1568,E0001569,Initiate Background Check,2027-10-10 18:17:17.823636+00:00,,,,,,,,,,,['C00201'],,
1569,E0001570,Complete Background Check,2027-10-20 18:17:17.823636+00:00,,,,,,Clear,,,,,['C00201'],,
1570,E0001571,Prepare Offer Letter,2027-10-20 22:17:17.823636+00:00,,,,,,,,,['HM003'],,['C00201'],,
1571,E0001572,Send Offer Letter,2027-10-21 15:17:17.823636+00:00,,,,,,,,,,,['C00201'],,
1572,E0001573,Candidate Reject Offer,2027-10-25 13:17:17.823636+00:00,,,,,,,,,,,['C00201'],,
1573,E0001574,Submit Application,2027-10-25 14:03:17.823636+00:00,,,,,,,,['JR048'],,,['C00202'],,
1574,E0001575,Screen Resume,2027-10-25 15:08:17.823636+00:00,,,,R002,,,,,,['R002'],['C00202'],,
1575,E0001576,Schedule Initial Interview,2027-10-26 13:08:17.823636+00:00,,,,,,,,,,['R002'],['C00202'],,
1576,E0001577,Conduct Initial Interview,2027-10-28 04:08:17.823636+00:00,,,,,Fail,,,,,['R002'],['C00202'],,
1577,E0001578,Send Rejection Letter,2027-10-28 09:08:17.823636+00:00,,,,,,,,,,,['C00202'],,
1578,E0001579,Submit Application,2027-10-28 09:55:17.823636+00:00,,,,,,,,['JR021'],,,['C00203'],,
1579,E0001580,Screen Resume,2027-10-28 11:51:17.823636+00:00,,,,R001,,,,,,['R001'],['C00203'],,
1580,E0001581,Send Rejection Letter,2027-10-29 03:51:17.823636+00:00,,,,,,,,,,,['C00203'],,
1581,E0001582,Submit Application,2027-10-29 04:12:17.823636+00:00,,,,,,,,['JR084'],,,['C00204'],,
1582,E0001583,Screen Resume,2027-10-29 07:12:17.823636+00:00,,,,R002,,,,,,['R002'],['C00204'],,
1583,E0001584,Schedule Initial Interview,2027-10-30 21:12:17.823636+00:00,,,,,,,,,,['R002'],['C00204'],,
1584,E0001585,Conduct Initial Interview,2027-10-31 20:12:17.823636+00:00,,,,,Fail,,,,,['R002'],['C00204'],,
1585,E0001586,Send Rejection Letter,2027-11-01 06:12:17.823636+00:00,,,,,,,,,,,['C00204'],,
1586,E0001587,Submit Application,2027-11-01 06:57:17.823636+00:00,,,,,,,,['JR094'],,,['C00205'],,
1587,E0001588,Screen Resume,2027-11-01 08:57:17.823636+00:00,,,,R005,,,,,,['R005'],['C00205'],,
1588,E0001589,Send Rejection Letter,2027-11-02 07:57:17.823636+00:00,,,,,,,,,,,['C00205'],,
1589,E0001590,Submit Application,2027-11-02 08:23:17.823636+00:00,,,,,,,,['JR074'],,,['C00206'],,
1590,E0001591,Screen Resume,2027-11-02 10:16:17.823636+00:00,,,,R006,,,,,,['R006'],['C00206'],,
1591,E0001592,Send Rejection Letter,2027-11-02 12:16:17.823636+00:00,,,,,,,,,,,['C00206'],,
1592,E0001593,Submit Application,2027-11-02 12:55:17.823636+00:00,,,,,,,,['JR024'],,,['C00207'],,
1593,E0001594,Screen Resume,2027-11-02 14:55:17.823636+00:00,,,,R007,,,,,,['R007'],['C00207'],,
1594,E0001595,Send Rejection Letter,2027-11-02 18:55:17.823636+00:00,,,,,,,,,,,['C00207'],,
1595,E0001596,Submit Application,2027-11-02 19:05:17.823636+00:00,,,,,,,,['JR064'],,,['C00208'],,
1596,E0001597,Screen Resume,2027-11-02 20:05:17.823636+00:00,,,,R002,,,,,,['R002'],['C00208'],,
1597,E0001598,Schedule Initial Interview,2027-11-03 17:05:17.823636+00:00,,,,,,,,,,['R002'],['C00208'],,
1598,E0001599,Conduct Initial Interview,2027-11-04 15:05:17.823636+00:00,,,,,Pass,,,,,['R002'],['C00208'],,
1599,E0001600,Send Assessment,2027-11-05 14:05:17.823636+00:00,,,,,,,,,,,['C00208'],['A00842'],
1600,E0001601,Complete Assessment,2027-11-07 09:05:17.823636+00:00,,,,,,,,,,,['C00208'],['A00842'],
1601,E0001602,Review Assessment,2027-11-07 21:05:17.823636+00:00,,,,,,Pass,,,['HM006'],,['C00208'],['A00842'],
1602,E0001603,Schedule Panel Interview,2027-11-09 18:05:17.823636+00:00,,,,,,,,,,,['C00208'],,"['I045', 'I005']"
1603,E0001604,Conduct Panel Interview,2027-11-13 11:05:17.823636+00:00,,,,,,,,,,,['C00208'],,"['I045', 'I005']"
1604,E0001605,Evaluate Interview,2027-11-13 15:05:17.823636+00:00,,,,,,,Proceed,,['HM006'],,['C00208'],,
1605,E0001606,Initiate Background Check,2027-11-13 17:05:17.823636+00:00,,,,,,,,,,,['C00208'],,
1606,E0001607,Complete Background Check,2027-11-20 17:05:17.823636+00:00,,,,,,Flagged,,,,,['C00208'],,
1607,E0001608,Send Rejection Letter,2027-11-21 17:05:17.823636+00:00,,,,,,,,,,,['C00208'],,
1608,E0001609,Submit Application,2027-11-21 17:16:17.823636+00:00,,,,,,,,['JR054'],,,['C00209'],,
1609,E0001610,Screen Resume,2027-11-21 18:34:17.823636+00:00,,,,R009,,,,,,['R009'],['C00209'],,
1610,E0001611,Send Rejection Letter,2027-11-22 06:34:17.823636+00:00,,,,,,,,,,,['C00209'],,
1611,E0001612,Submit Application,2027-11-22 06:59:17.823636+00:00,,,,,,,,['JR070'],,,['C00210'],,
1612,E0001613,Screen Resume,2027-11-22 10:59:17.823636+00:00,,,,R006,,,,,,['R006'],['C00210'],,
1613,E0001614,Send Rejection Letter,2027-11-23 05:59:17.823636+00:00,,,,,,,,,,,['C00210'],,
1614,E0001615,Submit Application,2027-11-23 06:48:17.823636+00:00,,,,,,,,['JR084'],,,['C00211'],,
1615,E0001616,Screen Resume,2027-11-23 08:48:17.823636+00:00,,,,R002,,,,,,['R002'],['C00211'],,
1616,E0001617,Schedule Initial Interview,2027-11-23 11:48:17.823636+00:00,,,,,,,,,,['R002'],['C00211'],,
1617,E0001618,Conduct Initial Interview,2027-11-25 01:48:17.823636+00:00,,,,,Pass,,,,,['R002'],['C00211'],,
1618,E0001619,Send Assessment,2027-11-25 10:48:17.823636+00:00,,,,,,,,,,,['C00211'],['A00327'],
1619,E0001620,Complete Assessment,2027-11-26 00:48:17.823636+00:00,,,,,,,,,,,['C00211'],['A00327'],
1620,E0001621,Review Assessment,2027-11-26 09:48:17.823636+00:00,,,,,,Fail,,,['HM015'],,['C00211'],['A00327'],
1621,E0001622,Send Rejection Letter,2027-11-26 15:48:17.823636+00:00,,,,,,,,,,,['C00211'],,
1622,E0001623,Submit Application,2027-11-26 15:53:17.823636+00:00,,,,,,,,['JR094'],,,['C00212'],,
1623,E0001624,Screen Resume,2027-11-26 16:53:17.823636+00:00,,,,R005,,,,,,['R005'],['C00212'],,
1624,E0001625,Schedule Initial Interview,2027-11-28 08:53:17.823636+00:00,,,,,,,,,,['R005'],['C00212'],,
1625,E0001626,Conduct Initial Interview,2027-11-30 22:53:17.823636+00:00,,,,,Pass,,,,,['R005'],['C00212'],,
1626,E0001627,Send Assessment,2027-12-01 19:53:17.823636+00:00,,,,,,,,,,,['C00212'],['A00442'],
1627,E0001628,Complete Assessment,2027-12-02 17:53:17.823636+00:00,,,,,,,,,,,['C00212'],['A00442'],
1628,E0001629,Review Assessment,2027-12-02 21:53:17.823636+00:00,,,,,,Pass,,,['HM014'],,['C00212'],['A00442'],
1629,E0001630,Schedule Panel Interview,2027-12-04 00:53:17.823636+00:00,,,,,,,,,,,['C00212'],,"['I007', 'I022']"
1630,E0001631,Conduct Panel Interview,2027-12-07 00:53:17.823636+00:00,,,,,,,,,,,['C00212'],,"['I007', 'I022']"
1631,E0001632,Evaluate Interview,2027-12-07 14:53:17.823636+00:00,,,,,,,Reject,,['HM014'],,['C00212'],,
1632,E0001633,Send Rejection Letter,2027-12-08 12:53:17.823636+00:00,,,,,,,,,,,['C00212'],,
1633,E0001634,Submit Application,2027-12-08 13:13:17.823636+00:00,,,,,,,,['JR037'],,,['C00213'],,
1634,E0001635,Screen Resume,2027-12-08 14:13:17.823636+00:00,,,,R008,,,,,,['R008'],['C00213'],,
1635,E0001636,Schedule Initial Interview,2027-12-10 02:13:17.823636+00:00,,,,,,,,,,['R008'],['C00213'],,
1636,E0001637,Conduct Initial Interview,2027-12-12 17:13:17.823636+00:00,,,,,Pass,,,,,['R008'],['C00213'],,
1637,E0001638,Send Assessment,2027-12-13 05:13:17.823636+00:00,,,,,,,,,,,['C00213'],['A00056'],
1638,E0001639,Complete Assessment,2027-12-13 06:13:17.823636+00:00,,,,,,,,,,,['C00213'],['A00056'],
1639,E0001640,Review Assessment,2027-12-13 19:13:17.823636+00:00,,,,,,Fail,,,['HM011'],,['C00213'],['A00056'],
1640,E0001641,Send Rejection Letter,2027-12-14 02:13:17.823636+00:00,,,,,,,,,,,['C00213'],,
1641,E0001642,Submit Application,2027-12-14 02:15:17.823636+00:00,,,,,,,,['JR013'],,,['C00214'],,
1642,E0001643,Screen Resume,2027-12-14 05:15:17.823636+00:00,,,,R008,,,,,,['R008'],['C00214'],,
1643,E0001644,Send Rejection Letter,2027-12-14 21:15:17.823636+00:00,,,,,,,,,,,['C00214'],,
1644,E0001645,Submit Application,2027-12-14 21:35:17.823636+00:00,,,,,,,,['JR015'],,,['C00215'],,
1645,E0001646,Screen Resume,2027-12-14 22:50:17.823636+00:00,,,,R004,,,,,,['R004'],['C00215'],,
1646,E0001647,Schedule Initial Interview,2027-12-16 17:50:17.823636+00:00,,,,,,,,,,['R004'],['C00215'],,
1647,E0001648,Conduct Initial Interview,2027-12-18 03:50:17.823636+00:00,,,,,Pass,,,,,['R004'],['C00215'],,
1648,E0001649,Send Assessment,2027-12-18 21:50:17.823636+00:00,,,,,,,,,,,['C00215'],['A00658'],
1649,E0001650,Complete Assessment,2027-12-20 23:50:17.823636+00:00,,,,,,,,,,,['C00215'],['A00658'],
1650,E0001651,Review Assessment,2027-12-21 15:50:17.823636+00:00,,,,,,Fail,,,['HM019'],,['C00215'],['A00658'],
1651,E0001652,Send Rejection Letter,2027-12-21 21:50:17.823636+00:00,,,,,,,,,,,['C00215'],,
1652,E0001653,Submit Application,2027-12-21 21:53:17.823636+00:00,,,,,,,,['JR058'],,,['C00216'],,
1653,E0001654,Screen Resume,2027-12-22 01:53:17.823636+00:00,,,,R004,,,,,,['R004'],['C00216'],,
1654,E0001655,Schedule Initial Interview,2027-12-22 19:53:17.823636+00:00,,,,,,,,,,['R004'],['C00216'],,
1655,E0001656,Conduct Initial Interview,2027-12-23 03:53:17.823636+00:00,,,,,Pass,,,,,['R004'],['C00216'],,
1656,E0001657,Send Assessment,2027-12-24 02:53:17.823636+00:00,,,,,,,,,,,['C00216'],['A00771'],
1657,E0001658,Complete Assessment,2027-12-24 15:53:17.823636+00:00,,,,,,,,,,,['C00216'],['A00771'],
1658,E0001659,Review Assessment,2027-12-25 06:53:17.823636+00:00,,,,,,Fail,,,['HM015'],,['C00216'],['A00771'],
1659,E0001660,Send Rejection Letter,2027-12-26 01:53:17.823636+00:00,,,,,,,,,,,['C00216'],,
1660,E0001661,Submit Application,2027-12-26 02:29:17.823636+00:00,,,,,,,,['JR030'],,,['C00217'],,
1661,E0001662,Screen Resume,2027-12-26 06:29:17.823636+00:00,,,,R009,,,,,,['R009'],['C00217'],,
1662,E0001663,Send Rejection Letter,2027-12-26 20:29:17.823636+00:00,,,,,,,,,,,['C00217'],,
1663,E0001664,Submit Application,2027-12-26 21:13:17.823636+00:00,,,,,,,,['JR069'],,,['C00218'],,
1664,E0001665,Screen Resume,2027-12-26 22:28:17.823636+00:00,,,,R001,,,,,,['R001'],['C00218'],,
1665,E0001666,Schedule Initial Interview,2027-12-27 14:28:17.823636+00:00,,,,,,,,,,['R001'],['C00218'],,
1666,E0001667,Conduct Initial Interview,2027-12-30 03:28:17.823636+00:00,,,,,Fail,,,,,['R001'],['C00218'],,
1667,E0001668,Send Rejection Letter,2027-12-30 06:28:17.823636+00:00,,,,,,,,,,,['C00218'],,
1668,E0001669,Submit Application,2027-12-30 07:26:17.823636+00:00,,,,,,,,['JR051'],,,['C00219'],,
1669,E0001670,Screen Resume,2027-12-30 07:45:17.823636+00:00,,,,R007,,,,,,['R007'],['C00219'],,
1670,E0001671,Schedule Initial Interview,2027-12-31 17:45:17.823636+00:00,,,,,,,,,,['R007'],['C00219'],,
1671,E0001672,Conduct Initial Interview,2028-01-01 12:45:17.823636+00:00,,,,,Pass,,,,,['R007'],['C00219'],,
1672,E0001673,Send Assessment,2028-01-02 03:45:17.823636+00:00,,,,,,,,,,,['C00219'],['A00973'],
1673,E0001674,Complete Assessment,2028-01-03 02:45:17.823636+00:00,,,,,,,,,,,['C00219'],['A00973'],
1674,E0001675,Review Assessment,2028-01-03 04:45:17.823636+00:00,,,,,,Pass,,,['HM015'],,['C00219'],['A00973'],
1675,E0001676,Schedule Panel Interview,2028-01-05 11:45:17.823636+00:00,,,,,,,,,,,['C00219'],,"['I009', 'I003']"
1676,E0001677,Conduct Panel Interview,2028-01-07 07:45:17.823636+00:00,,,,,,,,,,,['C00219'],,"['I009', 'I003']"
1677,E0001678,Evaluate Interview,2028-01-08 05:45:17.823636+00:00,,,,,,,Reject,,['HM015'],,['C00219'],,
1678,E0001679,Send Rejection Letter,2028-01-08 12:45:17.823636+00:00,,,,,,,,,,,['C00219'],,
1679,E0001680,Submit Application,2028-01-08 12:55:17.823636+00:00,,,,,,,,['JR081'],,,['C00220'],,
1680,E0001681,Screen Resume,2028-01-08 13:43:17.823636+00:00,,,,R003,,,,,,['R003'],['C00220'],,
1681,E0001682,Schedule Initial Interview,2028-01-10 12:43:17.823636+00:00,,,,,,,,,,['R003'],['C00220'],,
1682,E0001683,Conduct Initial Interview,2028-01-10 21:43:17.823636+00:00,,,,,Pass,,,,,['R003'],['C00220'],,
1683,E0001684,Send Assessment,2028-01-11 15:43:17.823636+00:00,,,,,,,,,,,['C00220'],['A00398'],
1684,E0001685,Complete Assessment,2028-01-13 18:43:17.823636+00:00,,,,,,,,,,,['C00220'],['A00398'],
1685,E0001686,Review Assessment,2028-01-13 21:43:17.823636+00:00,,,,,,Fail,,,['HM016'],,['C00220'],['A00398'],
1686,E0001687,Send Rejection Letter,2028-01-13 22:43:17.823636+00:00,,,,,,,,,,,['C00220'],,
1687,E0001688,Submit Application,2028-01-13 23:23:17.823636+00:00,,,,,,,,['JR090'],,,['C00221'],,
1688,E0001689,Screen Resume,2028-01-14 03:23:17.823636+00:00,,,,R010,,,,,,['R010'],['C00221'],,
1689,E0001690,Schedule Initial Interview,2028-01-14 13:23:17.823636+00:00,,,,,,,,,,['R010'],['C00221'],,
1690,E0001691,Conduct Initial Interview,2028-01-15 08:23:17.823636+00:00,,,,,Pass,,,,,['R010'],['C00221'],,
1691,E0001692,Send Assessment,2028-01-15 12:23:17.823636+00:00,,,,,,,,,,,['C00221'],['A00948'],
1692,E0001693,Complete Assessment,2028-01-16 01:23:17.823636+00:00,,,,,,,,,,,['C00221'],['A00948'],
1693,E0001694,Review Assessment,2028-01-16 04:23:17.823636+00:00,,,,,,Fail,,,['HM017'],,['C00221'],['A00948'],
1694,E0001695,Send Rejection Letter,2028-01-16 13:23:17.823636+00:00,,,,,,,,,,,['C00221'],,
1695,E0001696,Submit Application,2028-01-16 14:05:17.823636+00:00,,,,,,,,['JR050'],,,['C00222'],,
1696,E0001697,Screen Resume,2028-01-16 18:05:17.823636+00:00,,,,R009,,,,,,['R009'],['C00222'],,
1697,E0001698,Schedule Initial Interview,2028-01-17 12:05:17.823636+00:00,,,,,,,,,,['R009'],['C00222'],,
1698,E0001699,Conduct Initial Interview,2028-01-19 16:05:17.823636+00:00,,,,,Pass,,,,,['R009'],['C00222'],,
1699,E0001700,Send Assessment,2028-01-20 12:05:17.823636+00:00,,,,,,,,,,,['C00222'],['A00634'],
1700,E0001701,Complete Assessment,2028-01-22 16:05:17.823636+00:00,,,,,,,,,,,['C00222'],['A00634'],
1701,E0001702,Review Assessment,2028-01-23 06:05:17.823636+00:00,,,,,,Pass,,,['HM016'],,['C00222'],['A00634'],
1702,E0001703,Schedule Panel Interview,2028-01-24 17:05:17.823636+00:00,,,,,,,,,,,['C00222'],,"['I048', 'I031']"
1703,E0001704,Conduct Panel Interview,2028-01-29 16:05:17.823636+00:00,,,,,,,,,,,['C00222'],,"['I048', 'I031']"
1704,E0001705,Evaluate Interview,2028-01-29 17:05:17.823636+00:00,,,,,,,Reject,,['HM016'],,['C00222'],,
1705,E0001706,Send Rejection Letter,2028-01-30 03:05:17.823636+00:00,,,,,,,,,,,['C00222'],,
1706,E0001707,Submit Application,2028-01-30 03:23:17.823636+00:00,,,,,,,,['JR040'],,,['C00223'],,
1707,E0001708,Screen Resume,2028-01-30 05:07:17.823636+00:00,,,,R007,,,,,,['R007'],['C00223'],,
1708,E0001709,Send Rejection Letter,2028-01-30 13:07:17.823636+00:00,,,,,,,,,,,['C00223'],,
1709,E0001710,Submit Application,2028-01-30 13:27:17.823636+00:00,,,,,,,,['JR018'],,,['C00224'],,
1710,E0001711,Screen Resume,2028-01-30 14:38:17.823636+00:00,,,,R007,,,,,,['R007'],['C00224'],,
1711,E0001712,Send Rejection Letter,2028-01-31 01:38:17.823636+00:00,,,,,,,,,,,['C00224'],,
1712,E0001713,Submit Application,2028-01-31 02:25:17.823636+00:00,,,,,,,,['JR035'],,,['C00225'],,
1713,E0001714,Screen Resume,2028-01-31 03:25:17.823636+00:00,,,,R002,,,,,,['R002'],['C00225'],,
1714,E0001715,Schedule Initial Interview,2028-01-31 17:25:17.823636+00:00,,,,,,,,,,['R002'],['C00225'],,
1715,E0001716,Conduct Initial Interview,2028-02-02 22:25:17.823636+00:00,,,,,Fail,,,,,['R002'],['C00225'],,
1716,E0001717,Send Rejection Letter,2028-02-03 15:25:17.823636+00:00,,,,,,,,,,,['C00225'],,
1717,E0001718,Submit Application,2028-02-03 16:18:17.823636+00:00,,,,,,,,['JR048'],,,['C00226'],,
1718,E0001719,Screen Resume,2028-02-03 18:18:17.823636+00:00,,,,R002,,,,,,['R002'],['C00226'],,
1719,E0001720,Schedule Initial Interview,2028-02-05 16:18:17.823636+00:00,,,,,,,,,,['R002'],['C00226'],,
1720,E0001721,Conduct Initial Interview,2028-02-08 09:18:17.823636+00:00,,,,,Fail,,,,,['R002'],['C00226'],,
1721,E0001722,Send Rejection Letter,2028-02-08 14:18:17.823636+00:00,,,,,,,,,,,['C00226'],,
1722,E0001723,Submit Application,2028-02-08 15:13:17.823636+00:00,,,,,,,,['JR100'],,,['C00227'],,
1723,E0001724,Screen Resume,2028-02-08 16:13:17.823636+00:00,,,,R009,,,,,,['R009'],['C00227'],,
1724,E0001725,Schedule Initial Interview,2028-02-09 05:13:17.823636+00:00,,,,,,,,,,['R009'],['C00227'],,
1725,E0001726,Conduct Initial Interview,2028-02-09 13:13:17.823636+00:00,,,,,Pass,,,,,['R009'],['C00227'],,
1726,E0001727,Send Assessment,2028-02-10 04:13:17.823636+00:00,,,,,,,,,,,['C00227'],['A00034'],
1727,E0001728,Complete Assessment,2028-02-10 11:13:17.823636+00:00,,,,,,,,,,,['C00227'],['A00034'],
1728,E0001729,Review Assessment,2028-02-10 13:13:17.823636+00:00,,,,,,Fail,,,['HM010'],,['C00227'],['A00034'],
1729,E0001730,Send Rejection Letter,2028-02-11 01:13:17.823636+00:00,,,,,,,,,,,['C00227'],,
1730,E0001731,Submit Application,2028-02-11 01:46:17.823636+00:00,,,,,,,,['JR060'],,,['C00228'],,
1731,E0001732,Screen Resume,2028-02-11 02:46:17.823636+00:00,,,,R004,,,,,,['R004'],['C00228'],,
1732,E0001733,Send Rejection Letter,2028-02-11 10:46:17.823636+00:00,,,,,,,,,,,['C00228'],,
1733,E0001734,Submit Application,2028-02-11 11:18:17.823636+00:00,,,,,,,,['JR048'],,,['C00229'],,
1734,E0001735,Screen Resume,2028-02-11 13:18:17.823636+00:00,,,,R002,,,,,,['R002'],['C00229'],,
1735,E0001736,Send Rejection Letter,2028-02-12 05:18:17.823636+00:00,,,,,,,,,,,['C00229'],,
1736,E0001737,Submit Application,2028-02-12 05:54:17.823636+00:00,,,,,,,,['JR076'],,,['C00230'],,
1737,E0001738,Screen Resume,2028-02-12 07:54:17.823636+00:00,,,,R003,,,,,,['R003'],['C00230'],,
1738,E0001739,Send Rejection Letter,2028-02-12 16:54:17.823636+00:00,,,,,,,,,,,['C00230'],,
1739,E0001740,Submit Application,2028-02-12 17:48:17.823636+00:00,,,,,,,,['JR096'],,,['C00231'],,
1740,E0001741,Screen Resume,2028-02-12 20:48:17.823636+00:00,,,,R005,,,,,,['R005'],['C00231'],,
1741,E0001742,Schedule Initial Interview,2028-02-13 00:48:17.823636+00:00,,,,,,,,,,['R005'],['C00231'],,
1742,E0001743,Conduct Initial Interview,2028-02-13 21:48:17.823636+00:00,,,,,Pass,,,,,['R005'],['C00231'],,
1743,E0001744,Send Assessment,2028-02-14 05:48:17.823636+00:00,,,,,,,,,,,['C00231'],['A00878'],
1744,E0001745,Complete Assessment,2028-02-15 10:48:17.823636+00:00,,,,,,,,,,,['C00231'],['A00878'],
1745,E0001746,Review Assessment,2028-02-15 13:48:17.823636+00:00,,,,,,Fail,,,['HM017'],,['C00231'],['A00878'],
1746,E0001747,Send Rejection Letter,2028-02-16 06:48:17.823636+00:00,,,,,,,,,,,['C00231'],,
1747,E0001748,Submit Application,2028-02-16 07:44:17.823636+00:00,,,,,,,,['JR003'],,,['C00232'],,
1748,E0001749,Screen Resume,2028-02-16 09:37:17.823636+00:00,,,,R008,,,,,,['R008'],['C00232'],,
1749,E0001750,Send Rejection Letter,2028-02-17 01:37:17.823636+00:00,,,,,,,,,,,['C00232'],,
1750,E0001751,Submit Application,2028-02-17 02:19:17.823636+00:00,,,,,,,,['JR017'],,,['C00233'],,
1751,E0001752,Screen Resume,2028-02-17 03:19:17.823636+00:00,,,,R010,,,,,,['R010'],['C00233'],,
1752,E0001753,Schedule Initial Interview,2028-02-18 18:19:17.823636+00:00,,,,,,,,,,['R010'],['C00233'],,
1753,E0001754,Conduct Initial Interview,2028-02-20 10:19:17.823636+00:00,,,,,Fail,,,,,['R010'],['C00233'],,
1754,E0001755,Send Rejection Letter,2028-02-21 00:19:17.823636+00:00,,,,,,,,,,,['C00233'],,
1755,E0001756,Submit Application,2028-02-21 01:14:17.823636+00:00,,,,,,,,['JR049'],,,['C00234'],,
1756,E0001757,Screen Resume,2028-02-21 04:14:17.823636+00:00,,,,R006,,,,,,['R006'],['C00234'],,
1757,E0001758,Schedule Initial Interview,2028-02-22 00:14:17.823636+00:00,,,,,,,,,,['R006'],['C00234'],,
1758,E0001759,Conduct Initial Interview,2028-02-24 19:14:17.823636+00:00,,,,,Fail,,,,,['R006'],['C00234'],,
